"","UniProt","median.K"
"353","P68871",0.027
"354","P78504",0.0815
"355","P80108",0.089
"356","P80511",0.108
"357","P80723",0.077
"358","P81605",0.05325
"359","P98088",0.079
"360","P98160",0.171
"361","P98161",0.067
"362","Q01459",0.174
"363","Q01518",0.07
"364","Q02487",0.11275
"365","Q02818",0.193
"366","Q03167",0.273
"367","Q03591",0.216
"368","Q04721",0.053
"369","Q04917",0.149
"370","Q05469",0.182
"371","Q06033",0.256
"372","Q07075",0.014
"373","Q07954",0.116
"374","Q07960",0.056
"375","Q08380",4026532.00675
"376","Q09327",0.25
"377","Q09328",0.0465
"378","Q09666",0.084
"379","Q12805",0.1075
"380","Q12860",0.057
"381","Q12866",0.082
"382","Q12913",0.0415
"383","Q12962",0.0555
"384","Q13093",0.11175
"385","Q13103",8053063.9875
"386","Q13201",0.199
"387","Q13508",0.01
"388","Q14118",0.35175
"389","Q14126",0.126
"390","Q14314",6039797.96475
"391","Q14315",0.0515
"392","Q14517",0.0875
"393","Q14520",0.37025
"394","Q14624",0.467
"395","Q14669",0.221
"396","Q15113",0.1825
"397","Q15223",0.195
"398","Q15311",0.054
"399","Q15361",0.12975
"400","Q15404",0.0945
"401","Q15485",0.4365
"402","Q15828",1.308
"403","Q15848",0.166
"404","Q15904",1006634.61
"405","Q15911",0.3245
"406","Q16270",0.25875
"407","Q16394",0.21725
"408","Q16610",0.09275
"409","Q16706",0.14075
"410","Q16827",0.031
"411","Q16853",0.00975
"412","Q24JP5",13.41
"413","Q2M1P5",0.015
"414","Q2TAC6",0.093
"415","Q4LDE5",0.057
"416","Q562R1",0.064
"417","Q5D862",0.0215
"418","Q5JU85",0.136
"419","Q5T749",0.0265
"420","Q5T985",0.135
"421","Q5VY43",0.048
"422","Q63HN8",0.256
"423","Q68DE3",0.117
"424","Q6AHZ1",0.3765
"425","Q6EMK4",0.14575
"426","Q6FHJ7",0.109
"427","Q6P179",0.0895
"428","Q6P4R8",0.205
"429","Q6Q788",3.352
"430","Q6UVK1",0.022
"431","Q6UWP8",0.1785
"432","Q6UX71",0.045
"433","Q6UXB8",0.1065
"434","Q6V0I7",0.0285
"435","Q6YHK3",0.033
"436","Q6YP21",0.048
"437","Q6ZRP7",0.139
"438","Q6ZS30",0.0605
"439","Q76LX8",0.1065
"440","Q7LBC6",0.1505
"441","Q7LFX5",0.787
"442","Q7Z333",2013266.831
"443","Q7Z7G8",4026532.11
"444","Q7Z7L1",0.247
"445","Q7Z7M0",0.08525
"446","Q7Z7M8",0.07525
"447","Q7Z7M9",0.158
"448","Q86SQ4",0.1485
"449","Q86U17",0.38225
"450","Q86UD1",0.527
"451","Q86UN3",0.126
"452","Q86UX7",0.0925
"453","Q86VF7",0.295
"454","Q86WI1",0.0365
"455","Q86YZ3",0.006
"456","Q8IVF2",0.475
"457","Q8IWC1",0.1545
"458","Q8IXL6",0.17975
"459","Q8IY26",0.136
"460","Q8IYS5",0.148
"461","Q8N4C8",0.133
"462","Q8N9M5",0.118
"463","Q8NAF0",0.037
"464","Q8NBJ4",0.119
"465","Q8NBP7",1.1655
"466","Q8NCL4",0.222
"467","Q8NDA2",0.0535
"468","Q8NFC6",0.125
"469","Q8NFD2",0.158
"470","Q8NI99",0.153
"471","Q8TDY2",4026532.11
"472","Q8TDY8",0.04575
"473","Q8WW12",0.157
"474","Q8WWZ8",0.107
"475","Q8WZ75",0.191
"476","Q92665",0.153
"477","Q92743",0.102
"478","Q92800",0.02
"479","Q92820",0.19775
"480","Q92954",0.17225
"481","Q96CX2",0.04975
"482","Q96HD1",1.2405
"483","Q96IY4",0.26275
"484","Q96KG7",0.047
"485","Q96KN2",0.243
"486","Q96M91",0.151
"487","Q96MK3",0.079
"488","Q96PD5",0.155
"489","Q96QK1",0.15
"490","Q96RL7",0.017
"491","Q96RW7",0.05625
"492","Q96S96",0.16675
"493","Q99650",0.106
"494","Q99969",0.3445
"495","Q99972",0.08775
"496","Q9BS40",0.0245
"497","Q9BTV5",0.215
"498","Q9BTY2",0.4945
"499","Q9BUN1",0.13
"500","Q9BWV1",0.183
"501","Q9BYE9",0.08825
"502","Q9H4A9",0.3255
"503","Q9H4G4",0.0075
"504","Q9H8L6",0.1995
"505","Q9HBB8",0.053
"506","Q9HBR0",0.09
"507","Q9HBW9",0.206
"508","Q9HCB6",0.054
"509","Q9HCL0",0.072
"510","Q9HCR9",0.061
"511","Q9HCU0",0.056
"512","Q9NPA3",0.091
"513","Q9NPC6",0.785
"514","Q9NPG4",0.1845
"515","Q9NPY3",0.124
"516","Q9NQ38",0.083
"517","Q9NQ79",0.09275
"518","Q9NRL2",107.79
"519","Q9NS40",0.11
"520","Q9NT22",0.0205
"521","Q9NTU7",0.023
"522","Q9NWT1",8053063.95
"523","Q9NXX6",0.207
"524","Q9NY15",0.2275
"525","Q9NY97",0.274
"526","Q9NYQ6",0.147
"527","Q9NZ08",0.16425
"528","Q9NZD4",0.0625
"529","Q9NZP8",0.173
"530","Q9NZT1",0.027
"531","Q9P219",0.4025
"532","Q9P232",0.10775
"533","Q9P2D7",0.15
"534","Q9UBG0",0.068
"535","Q9UBJ2",0.0505
