"","UniProt","median.K"
"84","P02749",1.3375
"85","P02750",0.133
"86","P02760",0.2055
"87","P02763",0.323
"88","P02765",0.097
"89","P02766",0.167
"90","P02774",0.1705
"91","P02775",0.12625
"92","P02776",0.088
"93","P02790",0.08475
"94","P02792",0.9125
"95","P03950",0.28
"96","P03973",8053063.95
"97","P04003",0.1475
"98","P04004",0.2545
"99","P04040",0.025
"100","P04066",0.219
"101","P04083",0.031
"102","P04114",0.22725
"103","P04180",0.275
"104","P04196",0.176
"105","P04217",0.16425
"106","P04264",0.0235
"107","P04275",0.16125
"108","P04746",0.504
"109","P05062",0.0325
"110","P05109",0.104
"111","P05154",2013266.2525
"112","P05156",0.0825
"113","P05160",0.2655
"114","P05164",0.0455
"115","P05186",0.003
"116","P05362",0.044
"117","P05534",0.069
"118","P05543",0.07
"119","P05546",0.1525
"120","P05556",0.109
"121","P06396",0.084
"122","P06702",0.0955
"123","P06703",0.057
"124","P06727",0.21525
"125","P06732",0.07
"126","P06733",0.037
"127","P06744",0.009
"128","P07195",0.009
"129","P07307",0.522
"130","P07357",0.201
"131","P07358",1.789
"132","P07360",0.199
"133","P07451",0.0565
"134","P07478",1.395
"135","P07711",0.385
"136","P07858",0.1235
"137","P07996",0.12525
"138","P07998",4026532.017
"139","P08123",0.7725
"140","P08185",0.103
"141","P08254",1.145
"142","P08294",0.02475
"143","P08311",0.1535
"144","P08519",0.09875
"145","P08571",0.204
"146","P08581",7.47
"147","P08603",0.115
"148","P08697",0.1495
"149","P09172",0.073
"150","P09467",0.063
"151","P09619",0.038
"152","P09668",0.045
"153","P10124",0.097
"154","P10253",0.016
"155","P10643",0.13125
"156","P10645",0.0535
"157","P10721",0.06675
"158","P11021",0.069
"159","P11047",0.0855
"160","P11226",0.28025
"161","P11597",0.088
"162","P11717",0.109
"163","P12109",0.1455
"164","P12110",1.256
"165","P12259",0.375
"166","P12273",0.111
"167","P12821",0.063
"168","P12955",0.0555
"169","P13489",0.1
"170","P13497",0.1165
"171","P13645",0.01575
"172","P13667",0.08
"173","P13671",0.271
"174","P13796",0.0265
"175","P14151",0.09575
"176","P14543",0.2835
"177","P14625",0.04
"178","P15085",1006633.186
"179","P15144",0.037
"180","P15151",0.0755
"181","P15169",0.09475
"182","P15291",0.197
"183","P15531",0.003
"184","P15822",0.093
"185","P15924",0.08
"186","P16284",0.2335
"187","P17813",0.0675
"188","P17936",0.311
"189","P18065",3.504
"190","P18206",0.07325
"191","P18428",0.224
"192","P18669",0.024
"193","P19021",0.2405
"194","P19320",0.129
"195","P19338",0.066
"196","P20851",0.10825
"197","P21709",0.401
"198","P22105",0.019
"199","P22304",0.095
"200","P22352",0.0135
"201","P22413",0.423
"202","P22692",0.927
"203","P22792",0.1905
"204","P22891",0.17475
"205","P22897",0.073
"206","P23142",0.064
"207","P23470",0.0455
"208","P24043",0.03375
"209","P24593",12079595.79
"210","P25311",0.29
"211","P25774",0.1995
"212","P26038",0.102
"213","P26572",3019899.1765
"214","P27169",0.054
"215","P27487",0.125
"216","P27797",0.061
"217","P27918",0.065
"218","P27930",0.06225
"219","P28072",0.0825
"220","P29622",0.1935
"221","P30041",0.248
"222","P30043",0.09375
"223","P30530",0.1135
"224","P31146",0.212
"225","P31150",0.037
"226","P31946",0.047
"227","P32119",0.066
"228","P32754",0.04675
"229","P33151",0.11775
"230","P33908",0.211
"231","P34096",0.315
"232","P35442",8053063.95
"233","P35527",0.075
"234","P35542",27.97325
"235","P35555",0.063
"236","P35579",0.16
"237","P35858",0.2195
"238","P35908",0.01975
"239","P35968",0.127
"240","P36222",0.259
"241","P36871",0.01875
"242","P36955",0.953
"243","P36980",0.491
"244","P37802",0.031
"245","P40189",0.2035
"246","P40197",-0.005
"247","P43121",0.02275
"248","P43652",0.131
"249","P43681",0.492
"250","P46013",2013266.129
"251","P46531",0.07775
"252","P48357",0.09
"253","P48740",0.21975
"254","P49189",0.07
"255","P50895",0.05
"256","P51884",0.036
"257","P52790",0.017
"258","P53634",0.15
"259","P54289",2.182
"260","P54802",0.118
"261","P55056",0.123
"262","P55072",0.012
"263","P55103",8053063.92875
"264","P55268",4026533.098
"265","P56470",0.063
"266","P60174",0.0645
"267","P61626",0.337
"268","P61981",0.065
"269","P62258",0.045
"270","P67936",0.0875
"271","P68871",0.008
"272","P69905",0.042
"273","P78415",0.155
"274","P80108",0.128
"275","P80723",0.037
"276","P98088",0.148
"277","P98160",0.082
"278","Q01459",0.14525
"279","Q02413",0.035
"280","Q02487",0.272
"281","Q02818",0.166
"282","Q03167",0.474
"283","Q03591",0.185
"284","Q04721",0.132
"285","Q04756",0.378
"286","Q04917",0.0175
"287","Q06033",0.1625
"288","Q07075",0.03375
"289","Q07954",0.158
"290","Q07960",-0.01
"291","Q08188",0.12
"292","Q08380",0.20325
"293","Q08554",0.04225
"294","Q08830",0.177
"295","Q10469",0.008
"296","Q12805",0.173
"297","Q12860",0.04225
"298","Q12913",0.057
"299","Q12962",0.074
"300","Q13093",0.1215
"301","Q13103",503316.75
"302","Q13201",0.185
"303","Q14118",0.274
"304","Q14126",0.172
"305","Q14204",0.415
"306","Q14315",0
"307","Q14520",0.307
"308","Q14624",0.6105
"309","Q15113",0.1685
"310","Q15223",0.7175
"311","Q15485",0.299
"312","Q15828",0.281
"313","Q15848",0.06725
"314","Q15911",2.437
"315","Q16270",0.134
"316","Q16394",0.195
"317","Q16610",0.11225
"318","Q16620",0.073
"319","Q16706",0.139
"320","Q16827",0.008
"321","Q16853",0.057
"322","Q3SY84",8053063.95
"323","Q3SYC2",0.651
"324","Q562R1",0.063
"325","Q5D862",0.046
"326","Q5KSL6",0.22
"327","Q5SVJ7",16106127.63
"328","Q5T749",0.38325
"329","Q5T750",0.1365
"330","Q5VU97",2013266.19
"331","Q5VY43",0.038
"332","Q6EMK4",0.139
"333","Q6KB66",0.09
"334","Q6N022",1.444
"335","Q6P179",0.074
"336","Q6UVK1",0.06
"337","Q6UWP8",0.0835
"338","Q6UX71",0.118
"339","Q6UXB8",0.16525
"340","Q6YHK3",0.0555
"341","Q6ZRP7",0.021
"342","Q76LX8",0.2075
"343","Q7LGC8",0.534
"344","Q7RTP6",0.102
"345","Q7Z7G8",4026532.0665
"346","Q7Z7M0",0.0945
"347","Q7Z7M8",0.061
"348","Q86SQ4",0.667
"349","Q86U17",0.9645
"350","Q86UD1",0.398
"351","Q86UN3",0.08
"352","Q86UX7",0.088
"353","Q86WI1",0.0745
"354","Q86XP3",0.185
"355","Q86YZ3",0.023
"356","Q8IVF4",0.2985
"357","Q8IWK6",0.096
"358","Q8IXL6",0.4545
"359","Q8N8L6",0.155
"360","Q8N988",0.083
"361","Q8N9M5",0.106
"362","Q8NAF0",0.071
"363","Q8NBJ4",0.099
"364","Q8NBP7",0.30625
"365","Q8NDA2",0.036
"366","Q8NFD2",0.0745
"367","Q8TDY8",0.03075
"368","Q8WUJ3",0.2355
"369","Q8WWZ8",0.4135
"370","Q8WXX7",12.63
"371","Q8WZ75",0.108
"372","Q92800",0.384
"373","Q92820",0.143
"374","Q92954",0.195
"375","Q96CX2",0.108
"376","Q96HD1",0.036
"377","Q96IY4",0.254
"378","Q96KG7",0.1
"379","Q96KN2",0.159
"380","Q96M91",0.233
"381","Q96PD5",0.144
"382","Q96RL7",0.4045
"383","Q96RP7",0.0515
"384","Q96RW7",0.087
"385","Q96S96",0.74825
"386","Q99650",0.014
"387","Q99742",2013266.132
"388","Q99941",4529848.59
"389","Q99969",0.33625
"390","Q99972",0.1895
"391","Q99983",0.004
"392","Q9BQ51",3.345
"393","Q9BSJ8",-0.008
"394","Q9BTY2",0.1745
"395","Q9BUN1",0.343
"396","Q9BXJ5",4.33075
"397","Q9BYE9",0.1115
"398","Q9BYJ0",4026532.11
"399","Q9BYP7",8053063.95
"400","Q9H1R3",0.08
"401","Q9H4A9",0.0985
"402","Q9H6X2",4026532.0355
"403","Q9H8L6",0.169
"404","Q9HBB8",0.194
"405","Q9HBR0",0.148
"406","Q9HBW9",0.149
"407","Q9HC10",0.027
"408","Q9HCB6",4026532.3835
"409","Q9HCL0",0.17225
"410","Q9HCU0",0.07
"411","Q9NPG4",0.115
"412","Q9NPY3",0.116
"413","Q9NQ38",0.495
"414","Q9NQ79",0.0755
"415","Q9NTU7",0.052
"416","Q9NX00",0.105
"417","Q9NY15",0.7465
"418","Q9NY97",0.07575
"419","Q9NZ08",0.206
"420","Q9NZP8",0.22
"421","Q9P232",0.0805
"422","Q9P266",0.661
"423","Q9P2D7",16106127.63
"424","Q9P2P6",0.091
"425","Q9P2X0",4026532.949
"426","Q9UBG0",0.06975
"427","Q9UBJ2",0.075
"428","Q9UBR2",8053063.94775
"429","Q9UBX1",0.218
"430","Q9UGM5",4026532.11
"431","Q9UHL4",0.1875
"432","Q9UJJ9",0.09275
"433","Q9UJU5",0.0035
"434","Q9UKU6",0.1675
"435","Q9ULE4",0.129
"436","Q9ULI3",0.06525
"437","Q9ULL1",0.08
"438","Q9UM47",0.035
"439","Q9UNN8",4026532.31075
"440","Q9UNW1",0.2265
"441","Q9UQP3",1.2975
"442","Q9Y490",0.015
"443","Q9Y4D7",0.0585
"444","Q9Y4H2",0.149
"445","Q9Y5C1",0.62325
"446","Q9Y5Y7",0.0595
"447","Q9Y646",0.1475
"448","Q9Y6R7",0.137
"449","Q9Y6Z7",0.8065
