ID	t	A0	m0	m1	m2	m3	m4	m5	notFoundBySE
13	7.00000	0.265437	0.265437	0.263936	0.212507	0.050491	0.131501	0.021072	
13	9.00000	0.249076	0.249076	0.235367	0.221450	0.051292	0.241072	0.001743	
13	10.0000	0.259562	0.259562	0.227645	0.243171	0.034829	0.232614	0.002180	
14	0.00000	0.322391	0.322391	0.364238	0.157863	0.071185	0.053503	0.029021	
14	5.00000	0.284192	0.284192	0.409046	0.164002	0.030398	0.098212	0.014150	
15	0.00000	0.194193	0.194193	0.194069	0.069921	0.021312	0.183259	0.224620	
16	0.00000	0.383756	0.383756	0.361483	0.175364	0.061811	0.017586	0.000000	
17	5.00000	0.312231	0.312231	0.319842	0.127093	0.026110	0.141647	0.031106	
17	8.00000	0.451802	0.451802	0.359667	0.171980	0.016551	0.000000	0.000000	
18	1.00000	0.491014	0.491014	0.343457	0.134873	0.030656	0.000000	0.000000	
18	2.00000	0.476272	0.476272	0.341010	0.159432	0.023287	0.000000	0.000000	
18	3.00000	0.442968	0.442968	0.353160	0.151475	0.047028	0.005369	0.000000	
18	4.00000	0.448496	0.448496	0.362697	0.133194	0.051544	0.004068	0.000000	
18	5.00000	0.454771	0.454771	0.356049	0.144853	0.039057	0.005270	0.000000	
18	6.00000	0.448977	0.448977	0.360608	0.137415	0.051808	0.001192	0.000000	
18	7.00000	0.459752	0.459752	0.354235	0.138808	0.041105	0.006100	0.000000	
18	8.00000	0.434257	0.434257	0.364625	0.150845	0.030991	0.019282	0.000000	
18	12.0000	0.428000	0.428000	0.356912	0.158770	0.041743	0.014574	0.000000	
19	1.00000	0.436533	0.436533	0.328788	0.161989	0.056860	0.015830	0.000000	
19	4.00000	0.703390	0.703390	0.224800	0.063414	0.008396	0.000000	0.000000	
19	6.00000	0.423161	0.423161	0.326765	0.171193	0.058648	0.020232	0.000000	
19	8.00000	0.403682	0.403682	0.337316	0.181261	0.067239	0.010502	0.000000	
19	9.00000	0.370931	0.370931	0.359023	0.190466	0.062687	0.016893	0.000000	
19	12.0000	0.369756	0.369756	0.359125	0.193761	0.068294	0.009065	0.000000	
19	13.0000	0.328476	0.328476	0.352048	0.202093	0.083050	0.030429	0.003904	
20	2.00000	0.479517	0.479517	0.348781	0.130075	0.036666	0.004961	0.000000	
20	6.00000	0.436281	0.436281	0.366700	0.157160	0.039951	-0.000092	0.000000	
20	8.00000	0.211468	0.211468	0.710914	0.057639	0.019979	0.000000	0.000000	
20	12.0000	0.313127	0.313127	0.305088	0.098412	0.031526	0.248927	0.002920	
20	13.0000	0.398198	0.398198	0.331806	0.184325	0.035591	0.042733	0.007347	
21	2.00000	0.468117	0.468117	0.254695	0.080520	0.108941	0.066199	0.021528	
21	6.00000	0.197664	0.197664	0.105123	0.029187	0.015350	0.034873	0.022129	
21	9.00000	0.278535	0.278535	0.165172	0.059090	0.062999	0.056472	0.040903	
22	1.00000	0.544725	0.544725	0.380369	0.074906	0.000000	0.000000	0.000000	
22	13.0000	0.433341	0.433341	0.378395	0.173077	0.015187	0.000000	0.000000	
23	1.00000	0.465654	0.465654	0.334055	0.140274	0.048286	0.011730	0.000000	
23	13.0000	0.367937	0.367937	0.340314	0.253816	0.032453	0.005480	0.000000	
24	1.00000	0.711310	0.711310	0.221606	0.056268	0.010815	0.000000	0.000000	
24	13.0000	0.422799	0.422799	0.559009	0.018193	0.000000	0.000000	0.000000	
25	5.00000	0.541019	0.541019	0.336243	0.077298	0.042947	0.002493	0.000000	
25	7.00000	0.143038	0.143038	0.600403	0.123414	0.129748	0.003397	0.000000	
26	8.00000	0.504528	0.504528	0.279093	0.145327	0.055990	0.015062	0.000000	
27	14.0000	0.450095	0.450095	0.318791	0.095900	0.105493	0.028130	0.001590	
28	5.00000	0.456307	0.456307	0.221416	0.090656	0.037679	0.177156	0.016785	
