"ID"	"t"	"A0"
67	"0"	0.386751
67	"1"	0.388874
67	"2"	0.39362
67	"3"	0.359548
67	"4"	0.355175
67	"5"	0.373365
67	"6"	0.134282
67	"7"	0.374103
67	"8"	0.336242
67	"9"	0.266729
67	"10"	0.322951
67	"11"	0.292925
67	"12"	0.276845
67	"13"	0.261844
67	"14"	0.333321
70	"0"	0.535188
70	"1"	0.47213
70	"2"	0.368568
70	"3"	0.483442
70	"4"	0.43129
70	"5"	0.348622
70	"6"	0.524595
70	"7"	0.378068
70	"8"	0.400305
70	"9"	0.403186
70	"10"	0.378356
70	"11"	0.506392
70	"12"	0.384962
70	"13"	0.366099
70	"14"	0.414283
72	"0"	0.316068
72	"1"	0.354455
72	"2"	0.369774
72	"3"	0.309662
72	"4"	0.349765
72	"5"	0.292397
72	"6"	0.343149
72	"7"	0.248481
72	"8"	0.473762
72	"9"	0.309027
72	"10"	0.315223
72	"11"	0.276531
72	"12"	0.310117
72	"13"	0.291351
72	"14"	0.296768
73	"0"	0.403774
73	"1"	0.238987
73	"2"	0.397548
73	"3"	0.370985
73	"4"	0.413465
73	"5"	0.370634
73	"6"	0.333463
73	"7"	0.333714
73	"8"	0.305059
73	"9"	0.306204
73	"10"	0.296364
73	"11"	0.306558
73	"12"	0.289478
73	"13"	0.272339
73	"14"	0.27365
74	"0"	0.509754
74	"1"	0.345299
74	"2"	0.349062
74	"3"	0.335952
74	"4"	0.319705
74	"5"	0.328826
74	"6"	0.297609
74	"7"	0.30947
74	"8"	0.293189
74	"9"	0.233468
74	"10"	0.246397
74	"11"	0.324179
74	"12"	0.276845
74	"13"	0.296237
74	"14"	0.236312
75	"0"	0.561405
75	"1"	0.545506
75	"2"	0.542482
75	"3"	0.532002
75	"4"	0.52303
75	"5"	0.511921
75	"6"	0.501222
75	"7"	0.494283
75	"8"	0.395486
75	"9"	0.474203
75	"10"	0.466609
75	"11"	0.440084
75	"12"	0.447331
75	"13"	0.45878
75	"14"	0.462651
76	"0"	0.307846
76	"1"	0.268233
76	"2"	0.307102
76	"3"	0.458241
76	"4"	0.282628
76	"5"	0.198274
76	"6"	0.180575
76	"7"	0.113772
76	"8"	0.13376
76	"9"	0.123649
76	"10"	0.101906
76	"11"	0.093341
76	"12"	0.229535
76	"13"	0.100636
76	"14"	0.152375
77	"0"	0.541763
77	"1"	0.618813
77	"2"	0.613586
77	"3"	0.500381
77	"4"	0.534634
77	"5"	0.553992
77	"6"	0.511298
77	"7"	0.504144
77	"8"	0.399812
77	"9"	0.272257
77	"10"	0.409729
77	"11"	0.153486
77	"12"	0.337544
77	"13"	0.329311
77	"14"	0.281236
78	"0"	0.352633
78	"1"	0.421918
78	"2"	0.495971
78	"3"	0.393067
78	"4"	0.530592
78	"5"	0.365242
78	"6"	0.391525
78	"7"	0.174314
78	"8"	0.252912
78	"9"	0.291989
78	"10"	0.245938
