"ID"	"t"	"A0"
114	"2"	0.539482
114	"4"	0.484745333333333
114	"5"	0.510855
114	"8"	0.5171956
114	"9"	0.537874
114	"10"	0.409537
114	"12"	0.488777
114	"14"	0.4372185
115	"0"	0.266198
115	"1"	0.1882694
115	"2"	0.22316
115	"4"	0.144686
115	"5"	0.161482
115	"8"	0.075466
115	"9"	0.126765
115	"10"	0.171001
115	"12"	0.0384152
115	"14"	0.122803
116	"0"	0.439309
116	"1"	0.4537235
116	"2"	0.387126
116	"4"	0.414993
116	"5"	0.367115
116	"8"	0.354707
116	"9"	0.331903666666667
116	"10"	0.368250166666667
116	"12"	0.344149
116	"14"	0.2713955
118	"0"	0.427058
118	"1"	0.416016
118	"2"	0.421873
118	"4"	0.396361
118	"5"	0.4049855
118	"8"	0.3660565
118	"9"	0.406592
118	"10"	0.547984
118	"12"	0.340746
118	"14"	0.340016
122	"0"	0.532061
122	"1"	0.541179
122	"2"	0.5488125
122	"4"	0.518573
122	"5"	0.516937
122	"8"	0.473102333333333
122	"9"	0.503477
122	"10"	0.623055
122	"12"	0.464545
122	"14"	0.249591
124	"0"	0.303707
124	"1"	0.330345
124	"2"	0.329427
124	"4"	0.286571
124	"5"	0.262822
124	"8"	0.2444
124	"9"	0.0968551
124	"10"	0.211675285714286
124	"12"	0.256801
124	"14"	0.221813
125	"0"	0.387522
125	"1"	0.391737
125	"2"	0.371923
125	"4"	0.372446
125	"5"	0.1981745
125	"8"	0.185769
125	"9"	0.18559
125	"10"	0.240283
125	"12"	0.265084
125	"14"	0.3026585
127	"0"	0.475754
127	"1"	0.4811615
127	"2"	0.4494465
127	"4"	0.428114
127	"5"	0.684138
127	"8"	0.441523
127	"9"	0.372032
127	"10"	0.4342715
127	"12"	0.431173
127	"14"	0.3452995
128	"0"	0.328037
128	"1"	0.318397
128	"2"	0.3537
128	"4"	0.129087
128	"5"	0.253332
128	"8"	0.278439
128	"9"	0.19408
128	"10"	0.255950571428571
128	"12"	0.283273
128	"14"	0.242779
129	"0"	0.632209
129	"1"	0.4547695
129	"2"	0.476095
129	"4"	0.4651062
129	"5"	0.479635
129	"8"	0.411281
129	"9"	0.421873
129	"10"	0.450625
129	"12"	0.41851
129	"14"	0.441349
130	"0"	0.409221666666667
130	"1"	0.488524
130	"2"	0.429926
130	"4"	0.3459485
130	"5"	0.419591
130	"8"	0.432557
130	"9"	0.372765
130	"10"	0.387807
130	"12"	0.399128
130	"14"	0.388983
132	"0"	0.409731
132	"1"	0.312648
132	"2"	0.4433255
132	"4"	0.4036015
132	"5"	0.411663
132	"8"	0.372035
132	"9"	0.295033
132	"10"	0.276456
132	"12"	0.320654
132	"14"	0.267653
133	"0"	0.41382
133	"1"	0.411378
133	"2"	0.371034
133	"4"	0.386485
133	"5"	0.331028
133	"8"	0.315262
133	"9"	0.3436645
133	"10"	0.288437
133	"12"	0.316179
133	"14"	0.287327
134	"0"	0.468849
134	"1"	0.558485
134	"2"	0.536436
134	"4"	0.597234
134	"5"	0.445314
134	"8"	0.391896
134	"9"	0.409831
134	"10"	0.364847
134	"12"	0.337239
134	"14"	0.370455
140	"0"	0.337458
140	"1"	0.45867
140	"2"	0.463473
140	"4"	0.533973
140	"5"	0.510837
140	"8"	0.365016
140	"9"	0.483827
140	"10"	0.484691
140	"12"	0.451701
140	"14"	0.475689
149	"0"	0.375987
149	"1"	0.4589058
149	"2"	0.472057
149	"4"	0.253659
149	"5"	0.353298
149	"8"	0.333125
149	"9"	0.252469
149	"10"	0.31535
149	"12"	0.422596
149	"14"	0.331691
150	"0"	0.408523
150	"1"	0.393458
150	"2"	0.444032
150	"4"	0.361512
150	"5"	0.3570025
150	"8"	0.267474425
150	"9"	0.312414
150	"10"	0.314356
150	"12"	0.320647
150	"14"	0.23236
152	"0"	0.337077
152	"1"	0.4336015
152	"2"	0.390269
152	"4"	0.319158
152	"5"	0.389119
152	"8"	0.401904
152	"9"	0.101632
152	"10"	0.269304
152	"12"	0.260155666666667
152	"14"	0.308962
156	"0"	0.47211
156	"1"	0.617309
156	"2"	0.590104
156	"4"	0.553313
156	"5"	0.479753
156	"8"	0.580636
156	"9"	0.529984
156	"10"	0.480346
156	"12"	0.482165
156	"14"	0.366718
157	"0"	0.517941
157	"1"	0.362559
157	"2"	0.277919
157	"4"	0.0165657
157	"5"	0.238457
157	"8"	0.321587
157	"9"	0.0273766
157	"10"	0.289484
157	"12"	0.22995
157	"14"	0.463131
158	"0"	0.47573
158	"1"	0.600613
158	"2"	0.476095
158	"4"	0.553004
158	"5"	0.522067
158	"8"	0.5200345
158	"9"	0.492949
158	"10"	0.450568
158	"12"	1
158	"14"	0.43411
167	"0"	0.384655
167	"1"	0.452417
167	"2"	0.360261
167	"4"	0.5392415
167	"5"	0.29854
167	"8"	0.338341
167	"9"	0.344295
167	"10"	0.329676
167	"12"	0.317635
167	"14"	0.284338
168	"0"	0.22292
168	"1"	0.214078
168	"2"	0.203745
168	"4"	0.173258
168	"5"	0.155331
168	"8"	0.135659
168	"9"	0.117753
168	"10"	0.109713
168	"12"	0.130183
168	"14"	0.147485
169	"0"	0.367439
169	"1"	0.805825
169	"2"	0.3902915
169	"4"	0.341033
169	"5"	0.313106
169	"8"	0.411214
169	"9"	0.377239333333333
169	"10"	0.316776
169	"12"	0.341897
169	"14"	0.39461
174	"0"	0.482435
174	"1"	0.425711
174	"2"	0.423954
174	"4"	0.429336
174	"5"	0.37456
174	"8"	0.348505
174	"9"	0.379811
174	"10"	0.366752
174	"12"	0.386275
174	"14"	0.37509
175	"0"	0.346752
175	"1"	0.21480465
175	"2"	0.0911776
175	"4"	0.165869
175	"5"	0.41801
175	"8"	0.328345
175	"9"	0.146883
175	"10"	0.0813602
175	"12"	0.262464
175	"14"	0.232616
176	"0"	0.412745
176	"1"	0.33711175
176	"2"	0.228768
176	"4"	0.443955833333333
176	"5"	0.626854
176	"8"	0.335582
176	"9"	0.351456
176	"10"	0.2633915
176	"12"	0.0944602
176	"14"	0.248559
177	"0"	0.40681
177	"1"	0.3959
177	"2"	0.286392
177	"4"	0.423614
177	"5"	0.383969
177	"8"	0.382686
177	"9"	0.469461
177	"10"	0.419848
177	"12"	0.634052
177	"14"	0.501396333333333
180	"0"	0.401933
180	"1"	0.361689
180	"2"	0.4653
180	"4"	0.344929
180	"5"	0.398774
180	"8"	0.324478
180	"9"	0.292902
180	"10"	0.126297
180	"12"	0.264047
180	"14"	0.243803333333333
190	"0"	0.417325
190	"1"	0.2155378
190	"2"	0.3550335
190	"4"	0.2359545
190	"5"	0.326464
190	"8"	0.23046
190	"9"	0.216664
190	"10"	0.231733
190	"12"	0.318629
190	"14"	0.246905
197	"0"	0.390984
197	"1"	0.375671
197	"2"	0.354727
197	"4"	0.36399
197	"5"	0.304303
197	"8"	0.264239
197	"9"	0.3156935
197	"10"	0.2652645
197	"12"	0.328407
197	"14"	0.2592429
199	"0"	0.288639
199	"1"	0.31018
199	"2"	0.241317
199	"4"	0.2803072675
199	"5"	0.261991
199	"8"	0.17395
199	"9"	0.171996
199	"10"	0.173242
199	"12"	0.0857068
199	"14"	0.150868
201	"0"	0.4768405
201	"1"	0.44563
201	"2"	0.517053
201	"4"	0.5582445
201	"5"	0.394166
201	"8"	0.387857714285714
201	"9"	0.271785
201	"10"	0.429773
201	"12"	0.295813
201	"14"	0.301816
203	"0"	0.458467
203	"1"	0.453237
203	"2"	0.4614195
203	"4"	0.5319526
203	"5"	0.261773
203	"8"	0.390171
203	"9"	0.377527
203	"10"	0.386327
203	"12"	0.397529
203	"14"	0.2993355
205	"0"	0.514594
205	"1"	0.5252585
205	"2"	0.597821
205	"4"	0.546363333333333
205	"5"	0.388362
205	"8"	0.424545824166667
205	"9"	0.4439418
205	"10"	0.424736333333333
205	"12"	0.402669
205	"14"	0.475689
206	"0"	0.228956
206	"1"	0.329553
206	"2"	0.2927425
206	"4"	0.31663275
206	"5"	0.2449385
206	"8"	0.1599
206	"9"	0.267042
206	"10"	0.324248
206	"12"	0.25482425
206	"14"	0.3140075
207	"0"	0.473991
207	"1"	0.3971965
207	"2"	0.481711833333333
207	"4"	0.42151
207	"5"	0.381592
207	"8"	0.493719833333333
207	"9"	0.340315666666667
207	"10"	0.3467348
207	"12"	0.418873
207	"14"	0.158659
209	"0"	0.515259
209	"1"	0.409652
209	"2"	0.359383333333333
209	"4"	0.392348
209	"5"	0.263847
209	"8"	0.3617575
209	"9"	0.285097
209	"10"	0.308776
209	"12"	0.371322
209	"14"	0.235774
211	"0"	0.442624
211	"1"	0.566789
211	"2"	0.591085
211	"4"	0.515212
211	"5"	0.4825192
211	"8"	0.473278666666667
211	"9"	0.443541
211	"10"	0.504424
211	"12"	0.487467
211	"14"	0.463045
212	"0"	0.47368
212	"1"	0.480499
212	"2"	0.44611125
212	"4"	0.525287
212	"5"	0.4037
212	"8"	0.384285
212	"9"	0.300061
212	"10"	0.357165
212	"12"	0.333247
212	"14"	0.242231
215	"0"	0.305696
215	"1"	0.324894
215	"2"	0.396754
215	"4"	0.323147333333333
215	"5"	0.328406
215	"8"	0.297509
215	"9"	0.186136
215	"10"	0.288344
215	"12"	0.274252
215	"14"	0.293126
217	"0"	0.333015
217	"1"	0.31297
217	"2"	0.412268
217	"4"	0.316897
217	"5"	0.409765
217	"8"	0.264914
217	"9"	0.3036265
217	"10"	0.2077545
217	"12"	0.183563
217	"14"	0.511199
219	"0"	0.473684
219	"1"	0.592557
219	"2"	0.437931
219	"4"	0.446914
219	"5"	0.432956
219	"8"	0.431246
219	"9"	0.394567
219	"10"	0.31113
219	"12"	0.461625
219	"14"	0.205383
223	"0"	0.361733
223	"1"	0.387438
223	"2"	0.341322
223	"4"	0.304987
223	"5"	0.27241
223	"8"	0.330336
223	"9"	0.294393666666667
223	"10"	0.3080915
223	"12"	0.308131
223	"14"	0.298961
224	"0"	0.2141055
224	"1"	0.195011
224	"2"	0.223071
224	"4"	0.213016
224	"5"	0.208191
224	"8"	0.145118
224	"9"	0.158657
224	"10"	0.147274
224	"12"	0.153196
224	"14"	0.174267
228	"0"	0.617596
228	"1"	0.522099
228	"2"	0.547904
228	"4"	0.635405
228	"5"	0.912021
228	"8"	0.586658
228	"9"	0.53754
228	"10"	0.0201308
228	"12"	0.451421
228	"14"	0.436729
230	"0"	0.153682
230	"1"	0.0154558
230	"2"	0.1566795
230	"4"	0.458771
230	"5"	0.172416666666667
230	"8"	0.0201004
230	"9"	0.102622
230	"10"	0.222234
230	"12"	0.174363
230	"14"	0.2694455
232	"0"	0.423414
232	"1"	0.442628
232	"2"	0.404865
232	"4"	0.41509
232	"5"	0.412059
232	"8"	0.369564
232	"9"	0.315022
232	"10"	0.484617
232	"12"	0.315681
232	"14"	0.311563
233	"0"	0.409221666666667
233	"1"	0.444122
233	"2"	0.4729005
233	"4"	0.430655
233	"5"	0.440811
233	"8"	0.497666
233	"9"	0.3670415
233	"10"	0.324539
233	"12"	0.496696
233	"14"	0.424482
236	"0"	0.5223965
236	"1"	0.545852
236	"2"	0.63297
236	"4"	0.503862
236	"5"	0.447053
236	"8"	0.392072
236	"9"	0.55237
236	"10"	0.404601
236	"12"	0.327396
236	"14"	0.407896
237	"0"	0.200557
237	"1"	0.239416
237	"2"	0.261565
237	"4"	0.2097
237	"5"	0.202359
237	"8"	0.19512
237	"9"	0.17624
237	"10"	0.146371
237	"12"	0.192126
237	"14"	0.0559001
238	"0"	0.247369
238	"1"	0.262565
238	"2"	0.290287
238	"4"	0.62863
238	"5"	0.372782
238	"8"	0.276697
238	"9"	0.345487
238	"10"	0.485045
238	"12"	0.222258
238	"14"	0.438601
240	"0"	0.599043
240	"1"	0.645389
240	"2"	0.6093152
240	"4"	0.599453
240	"5"	0.573078
240	"8"	0.413761
240	"9"	0.529766
240	"10"	0.5128295
240	"12"	0.439631
240	"14"	0.508406285714286
241	"0"	0.3775908
241	"1"	0.37239425
241	"2"	0.415878714285714
241	"4"	0.3820835
241	"5"	0.297715
241	"8"	0.353363333333333
241	"9"	0.408577714285714
241	"10"	0.360174044444444
241	"12"	0.340631777777778
241	"14"	0.352548545454545
242	"0"	0.380354666666667
242	"1"	0.3669926
242	"2"	0.3531252
242	"4"	0.3316438
242	"5"	0.3190024
242	"8"	0.294252
242	"9"	0.299364
242	"10"	0.289235
242	"12"	0.2812766
242	"14"	0.248446
244	"0"	0.197026
244	"1"	0.260775
244	"2"	0.175768
244	"4"	0.178703
244	"5"	0.272963
244	"8"	0.164713
244	"9"	0.0578771
244	"10"	0.0913842
244	"12"	0.177245
244	"14"	0.198502
245	"0"	0.466132
245	"1"	0.494003
245	"2"	0.51104
245	"4"	0.474831
245	"5"	0.515748
245	"8"	0.561333
245	"9"	0.515516
245	"10"	0.521947
245	"12"	0.434141
245	"14"	0.474188
